datetime,open,high,low,close,volume
2018-01-01,98.3062417419123,98.44172564559267,98.02318092833174,98.3062417419123,1211
2018-01-02,98.3062417419123,98.38171576186657,96.81001523250401,97.03008587489703,8168
2018-01-03,97.03008587489703,97.26572528022207,95.53318656672738,95.74706999189068,4126
2018-01-04,95.74706999189068,95.90942886952747,95.34439454190236,95.43962567390827,9270
2018-01-05,95.43962567390827,95.63937038266371,93.07536480242861,93.28581313642087,8280
2018-01-08,93.28581313642087,93.36262979322935,93.00974800599106,93.13770229814983,4531
2018-01-09,93.13770229814983,93.27010477364342,92.18234835454258,92.278093729768,2150
2018-01-10,92.278093729768,93.25794938734995,92.0163735172795,93.1343223520595,4102
2018-01-11,93.1343223520595,94.11475697121159,92.95036006347905,94.05796581857223,9105
2018-01-12,94.05796581857223,95.54229687290298,93.81104354992222,95.4052713482605,7046
2018-01-15,95.4052713482605,96.32473359868703,95.22884186395243,96.1691416439908,7763
2018-01-16,96.1691416439908,96.3692470448152,95.96275260671003,96.14699665350645,9910
2018-01-17,96.14699665350645,97.10438510817407,95.96438867036305,97.00632430352158,4933
2018-01-18,97.00632430352158,98.61369249325166,96.93831568829555,98.5073324916729,7066
2018-01-19,98.5073324916729,98.66902744698385,97.75621815749862,97.89495750416454,6030
2018-01-22,97.89495750416454,98.78176659606335,97.74798363066881,98.52384036661873,5330
2018-01-23,98.52384036661873,98.59433782656734,98.38462795856653,98.5113544160772,9829
2018-01-24,98.5113544160772,100.2100177284193,98.2764816624518,99.97018405186951,1910
2018-01-25,99.97018405186951,100.21291999405902,99.16449729664035,99.16677530677138,8074
2018-01-26,99.16677530677138,99.20492977860387,98.63794767119253,98.89785657570381,5791
2018-01-29,98.89785657570381,99.41024092522672,98.83942965213585,99.28663319652831,1049
2018-01-30,99.28663319652831,99.60830418388258,99.2554335180763,99.57310065346661,8487
2018-01-31,99.57310065346661,99.7247764205322,97.6943080825347,97.98335082816703,5680
2018-02-01,97.98335082816703,98.62181097678096,97.69681731776821,98.36638472565889,6523
2018-02-02,98.36638472565889,98.64144437188206,98.23333795328215,98.27937124622143,2134
2018-02-05,98.27937124622143,98.30936802825444,97.78906516654186,98.0734484136748,9263
2018-02-06,98.0734484136748,98.09062140698865,97.8784121639875,97.95063771082366,9127
2018-02-07,97.95063771082366,98.43448137965896,97.78555562798664,98.1948109186372,2986
2018-02-08,98.1948109186372,98.2012100909098,96.27140767744834,96.4562382047143,2320
2018-02-09,96.4562382047143,98.23914442429506,96.43879375733964,97.99476717393274,1498
2018-02-12,97.99476717393274,98.11147669579461,97.11500200112371,97.18337563993408,7088
